                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.0737,                 2.0697,                0.88175,                0.33904,                0.44802,                0.31532,                0.22348,                 1.0728,                 7.8964,                0.84059,             0.00034441,             0.00034441,             0.00034441
                      2,                0.95994,                0.74852,                0.85224,                0.79368,                0.43125,                0.46885,                 0.3169,                 1.1235,                0.97664,                0.85914,             0.00069647,             0.00069647,             0.00069647
                      3,                0.94654,                0.69376,                0.84774,                0.87594,                0.46027,                0.52301,                0.34494,                 1.1524,                0.84781,                0.86396,               0.001045,               0.001045,               0.001045
                      4,                0.93399,                0.65433,                0.84104,                0.87768,                0.48055,                  0.552,                0.35646,                 1.0785,                0.75134,                0.85257,              0.0010945,              0.0010945,              0.0010945
                      5,                0.89518,                0.65733,                0.84524,                0.79329,                0.46252,                0.51373,                0.35113,                 1.1321,                0.80931,                 0.8604,              0.0010945,              0.0010945,              0.0010945
                      6,                0.89672,                0.60803,                0.84387,                0.85832,                0.48983,                0.56731,                0.36769,                 1.0935,                0.73583,                0.85549,               0.001089,               0.001089,               0.001089
                      7,                0.86332,                0.56398,                0.83893,                0.83541,                0.48718,                0.55674,                0.36902,                 1.0744,                0.70767,                 0.8493,              0.0010835,              0.0010835,              0.0010835
                      8,                0.86392,                0.55131,                0.84056,                0.90989,                0.49975,                   0.57,                0.37985,                 1.0658,                0.66598,                0.84953,               0.001078,               0.001078,               0.001078
                      9,                0.80587,                0.50799,                 0.8337,                0.83981,                0.52005,                0.58522,                0.39021,                 1.0683,                0.65558,                0.85021,              0.0010725,              0.0010725,              0.0010725
                     10,                0.82775,                0.54081,                0.83244,                0.83639,                0.50571,                 0.5656,                0.38723,                  1.054,                0.70111,                 0.8491,               0.001067,               0.001067,               0.001067
                     11,                0.81383,                0.51562,                0.82942,                0.87974,                0.50439,                0.57419,                0.40338,                 1.0184,                0.65452,                0.84087,              0.0010615,              0.0010615,              0.0010615
                     12,                0.81042,                0.53253,                0.82414,                0.90568,                 0.5085,                0.58048,                0.38961,                  1.038,                0.62807,                0.84254,               0.001056,               0.001056,               0.001056
                     13,                0.80191,                 0.4986,                0.82954,                0.91473,                 0.4988,                0.59839,                0.41789,                0.99818,                0.63345,                0.83907,              0.0010505,              0.0010505,              0.0010505
                     14,                0.77936,                0.49496,                0.83075,                0.88056,                0.51276,                0.59184,                0.40138,                0.98283,                0.60394,                0.83989,               0.001045,               0.001045,               0.001045
                     15,                0.76323,                0.47878,                 0.8214,                0.86339,                0.51814,                0.59254,                0.40652,                 1.0494,                0.63505,                0.84725,              0.0010395,              0.0010395,              0.0010395
                     16,                0.76872,                0.49878,                  0.827,                 0.8612,                 0.5246,                0.57285,                0.38831,                 1.0374,                 0.6806,                0.84325,               0.001034,               0.001034,               0.001034
                     17,                 0.7627,                0.48205,                0.82216,                0.87704,                0.52728,                0.58438,                0.38913,                 1.0843,                0.64255,                0.85107,              0.0010285,              0.0010285,              0.0010285
                     18,                0.78407,                0.50067,                0.82413,                0.89609,                0.50558,                0.59142,                0.40983,                 1.0082,                0.64396,                0.84421,               0.001023,               0.001023,               0.001023
                     19,                0.76108,                0.46937,                0.81861,                 0.8951,                0.52566,                0.61003,                0.42067,                 1.0068,                0.61099,                0.83653,              0.0010175,              0.0010175,              0.0010175
                     20,                0.79046,                0.47354,                 0.8216,                0.90256,                0.52098,                0.59353,                0.39073,                 1.0716,                0.61945,                0.84227,               0.001012,               0.001012,               0.001012
                     21,                0.78074,                0.46473,                0.82388,                0.90005,                0.52373,                0.60439,                0.41776,                0.99991,                0.61337,                0.83631,              0.0010065,              0.0010065,              0.0010065
                     22,                0.74287,                0.44794,                0.81571,                 0.8896,                0.52807,                0.59679,                0.40631,                0.98598,                0.61867,                 0.8341,               0.001001,               0.001001,               0.001001
                     23,                0.73661,                 0.4413,                0.81876,                0.85759,                0.54507,                0.59598,                0.39479,                 1.0701,                0.64855,                0.84847,             0.00099551,             0.00099551,             0.00099551
                     24,                0.75256,                 0.4758,                0.81945,                0.87901,                0.53091,                0.58565,                 0.4029,                 0.9899,                0.62322,                0.83524,             0.00099001,             0.00099001,             0.00099001
                     25,                0.77494,                0.46929,                0.82341,                0.88262,                0.51352,                0.59626,                0.39775,                 1.0167,                   0.65,                0.83705,             0.00098451,             0.00098451,             0.00098451
                     26,                0.73882,                0.43823,                0.81704,                0.90068,                0.53559,                0.60279,                0.41244,                 1.0206,                0.62473,                0.84311,             0.00097901,             0.00097901,             0.00097901
                     27,                0.75289,                 0.4426,                0.81629,                0.88057,                0.53275,                0.59129,                0.39875,                 1.0306,                0.63557,                 0.8392,             0.00097351,             0.00097351,             0.00097351
                     28,                0.73603,                0.43243,                0.81132,                0.88856,                0.53267,                0.59333,                0.40762,                 1.0135,                0.66807,                0.84184,             0.00096801,             0.00096801,             0.00096801
                     29,                0.72665,                0.44991,                0.81291,                0.87066,                0.51828,                0.59296,                0.40594,                 1.0097,                0.63694,                 0.8371,             0.00096251,             0.00096251,             0.00096251
                     30,                0.72929,                0.44381,                 0.8139,                 0.8842,                0.49926,                0.58974,                0.40146,                0.99216,                 0.6266,                0.83571,             0.00095702,             0.00095702,             0.00095702
                     31,                0.70533,                0.43914,                 0.8135,                0.90527,                0.52351,                0.60026,                0.40843,                 1.0681,                0.65332,                0.84507,             0.00095152,             0.00095152,             0.00095152
                     32,                0.72215,                0.43568,                0.81518,                0.89713,                  0.526,                0.60595,                0.41588,                 1.0063,                0.63418,                0.83376,             0.00094602,             0.00094602,             0.00094602
                     33,                0.72897,                0.43926,                0.82064,                0.90958,                 0.5253,                0.60562,                0.42086,                 1.0355,                0.60233,                0.84605,             0.00094052,             0.00094052,             0.00094052
                     34,                0.72867,                0.43939,                0.81723,                0.88971,                0.52867,                0.61424,                0.42693,                  1.005,                0.60935,                0.83523,             0.00093502,             0.00093502,             0.00093502
                     35,                0.72435,                0.42414,                0.81257,                0.87708,                0.51713,                0.60372,                0.41236,                 1.0329,                0.63261,                0.84742,             0.00092952,             0.00092952,             0.00092952
                     36,                0.71945,                0.43098,                0.81486,                0.88597,                0.52797,                0.61227,                0.41356,                0.99768,                0.61834,                0.83835,             0.00092402,             0.00092402,             0.00092402
                     37,                0.70732,                0.43808,                0.81354,                0.87991,                 0.5121,                0.59008,                0.41213,                0.99925,                0.61264,                0.83793,             0.00091852,             0.00091852,             0.00091852
                     38,                0.71328,                0.42136,                 0.8109,                0.86067,                0.51595,                0.60185,                0.41726,                 1.0123,                0.65185,                0.83666,             0.00091302,             0.00091302,             0.00091302
                     39,                 0.7321,                0.43037,                0.81634,                 0.8908,                0.53494,                0.59885,                0.42109,                 1.0091,                0.59182,                0.83683,             0.00090752,             0.00090752,             0.00090752
                     40,                0.71032,                 0.4221,                0.81151,                0.89856,                0.53594,                0.60048,                0.41556,                0.99844,                0.61425,                0.83658,             0.00090202,             0.00090202,             0.00090202
                     41,                0.70604,                 0.4268,                0.80793,                0.87548,                0.52147,                0.59292,                0.41243,                 1.0001,                 0.6149,                 0.8353,             0.00089652,             0.00089652,             0.00089652
