                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                0.00074,                0.15106,                 0.0908,                0.60215,                0.18107,                0.18786,                0.09305,                 0.0041,                 0.4217,                0.09967,                0.13243,             0.00098683,             0.00098683
                      2,                0.00079,                0.15802,                 0.0914,                0.50587,                0.19732,                0.22353,                0.10901,                0.00422,                0.38513,                 0.1004,               0.078264,              0.0019572,              0.0019572
                      3,                0.00078,                0.15275,                0.09133,                0.58338,                 0.1986,                0.23103,                0.11406,                 0.0041,                 0.3813,                0.09931,               0.024079,              0.0029108,              0.0029108
                      4,                 0.0008,                0.15507,                0.09166,                0.51084,                0.21976,                0.23639,                0.11468,                0.00404,                0.36431,                0.09906,               0.003255,               0.003255,               0.003255
                      5,                0.00079,                0.15286,                0.09142,                0.46748,                0.21222,                0.23814,                 0.1176,                0.00407,                0.36518,                0.09904,               0.003255,               0.003255,               0.003255
                      6,                0.00079,                0.15246,                0.09143,                0.51573,                0.21919,                0.23663,                0.11582,                0.00405,                0.35701,                0.09885,              0.0032266,              0.0032266,              0.0032266
                      7,                0.00079,                0.15168,                0.09149,                0.55955,                 0.2242,                0.24217,                0.11822,                0.00402,                0.35342,                0.09871,              0.0031983,              0.0031983,              0.0031983
                      8,                0.00078,                0.15017,                0.09142,                0.56327,                0.22434,                0.24451,                0.11864,                0.00401,                 0.3538,                0.09857,              0.0031699,              0.0031699,              0.0031699
                      9,                0.00078,                0.15034,                0.09138,                0.53948,                0.22189,                0.24378,                0.11919,                0.00401,                0.35422,                 0.0987,              0.0031416,              0.0031416,              0.0031416
                     10,                0.00079,                0.15026,                0.09137,                0.55023,                0.22385,                0.24606,                0.12016,                0.00401,                0.35398,                0.09868,              0.0031132,              0.0031132,              0.0031132
                     11,                0.00078,                0.14884,                0.09136,                0.55941,                0.22551,                0.24636,                0.12048,                0.00402,                0.35305,                0.09861,              0.0030849,              0.0030849,              0.0030849
                     12,                0.00077,                 0.1479,                0.09125,                 0.5601,                0.22528,                0.24649,                0.12088,                0.00401,                0.35235,                0.09844,              0.0030566,              0.0030566,              0.0030566
                     13,                0.00077,                0.14665,                0.09123,                0.55269,                0.22363,                0.24768,                0.12146,                0.00401,                0.35183,                0.09846,              0.0030282,              0.0030282,              0.0030282
                     14,                0.00078,                0.14739,                 0.0913,                0.55116,                0.22281,                 0.2475,                0.12128,                0.00401,                0.35177,                0.09857,              0.0029999,              0.0029999,              0.0029999
