                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                0.00094,                0.25004,                0.09352,                0.63254,                0.56039,                0.62427,                0.49732,                0.00103,                0.25365,                0.04744,                0.13242,             0.00098699,             0.00098699
                      2,                0.00096,                0.21431,                0.09304,                0.70889,                0.58497,                0.63828,                0.51009,                0.00077,                0.16016,                0.03581,               0.078253,              0.0019574,              0.0019574
                      3,                0.00092,                0.19832,                0.09227,                0.68902,                 0.6074,                0.64544,                0.51717,                0.00062,                0.13981,                0.03054,               0.024066,               0.002911,               0.002911
                      4,                0.00089,                0.18511,                0.09158,                0.68502,                0.60559,                0.64641,                0.51816,                0.00076,                0.15412,                0.03583,               0.003255,               0.003255,               0.003255
                      5,                0.00084,                0.17357,                0.09097,                0.68226,                0.60414,                 0.6497,                0.52115,                0.00082,                0.16572,                0.03954,               0.003255,               0.003255,               0.003255
                      6,                0.00082,                0.16568,                0.09044,                0.67404,                0.60866,                0.65033,                0.52234,                0.00072,                0.16474,                0.03396,              0.0032266,              0.0032266,              0.0032266
                      7,                0.00079,                 0.1612,                0.09029,                0.69578,                0.60249,                0.65171,                0.52387,                0.00077,                0.15568,                0.03609,              0.0031983,              0.0031983,              0.0031983
                      8,                0.00079,                0.15623,                0.09002,                 0.6955,                0.60396,                0.65275,                0.52473,                0.00074,                0.16012,                0.03503,              0.0031699,              0.0031699,              0.0031699
                      9,                0.00078,                0.15319,                0.08985,                0.69111,                0.61186,                0.65413,                 0.5259,                0.00072,                0.15837,                0.03409,              0.0031416,              0.0031416,              0.0031416
                     10,                0.00076,                0.15009,                0.08976,                0.68322,                0.61701,                0.65463,                0.52597,                0.00068,                0.15868,                0.03293,              0.0031132,              0.0031132,              0.0031132
                     11,                0.00076,                 0.1471,                0.08955,                0.68648,                0.61635,                0.65592,                0.52687,                0.00068,                0.15795,                0.03337,              0.0030849,              0.0030849,              0.0030849
                     12,                0.00075,                0.14459,                0.08946,                0.67852,                0.61873,                0.65561,                0.52712,                0.00066,                0.16143,                0.03249,              0.0030566,              0.0030566,              0.0030566
                     13,                0.00074,                0.14284,                0.08938,                0.67492,                0.61797,                 0.6559,                0.52791,                0.00065,                0.16233,                0.03215,              0.0030282,              0.0030282,              0.0030282
                     14,                0.00074,                 0.1409,                 0.0893,                0.67957,                0.61379,                 0.6562,                0.52824,                0.00063,                0.16288,                0.03147,              0.0029999,              0.0029999,              0.0029999
                     15,                0.00073,                0.13948,                0.08931,                0.68177,                0.61409,                0.65701,                0.52875,                0.00061,                0.16084,                0.03083,              0.0029715,              0.0029715,              0.0029715
                     16,                0.00073,                0.13717,                0.08921,                0.68274,                0.61463,                0.65757,                0.52933,                0.00058,                0.15371,                0.02975,              0.0029432,              0.0029432,              0.0029432
