               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,             0.09624,           0.0044905,             0.01982,             0.34252,             0.23849,             0.15034,            0.060354,            0.077383,            0.022589,            0.016152,             0.01959,           0.0019395,           0.0019395
                   1,            0.082773,           0.0030808,            0.017607,              0.8216,             0.21493,             0.28084,             0.14198,            0.073177,            0.021723,            0.013625,           0.0025693,           0.0025693,           0.0025693
                   2,            0.079247,           0.0026646,            0.012601,             0.70657,             0.33999,             0.36508,             0.19995,            0.071037,            0.020742,           0.0091569,           0.0025693,           0.0025693,           0.0025693
                   3,            0.077514,            0.002533,            0.010397,             0.74557,             0.36343,             0.39647,             0.22361,            0.069586,            0.020292,            0.007993,           0.0025586,           0.0025586,           0.0025586
                   4,            0.076135,           0.0024641,           0.0095133,             0.80029,             0.38093,             0.42399,             0.24633,            0.068559,            0.020033,           0.0073927,           0.0025479,           0.0025479,           0.0025479
                   5,            0.075061,            0.002384,            0.009019,             0.82306,             0.38717,             0.44272,             0.26119,             0.06792,            0.019831,           0.0070289,           0.0025372,           0.0025372,           0.0025372
                   6,             0.07468,           0.0023888,           0.0086384,             0.81832,             0.40429,              0.4562,             0.27081,            0.067446,            0.019707,           0.0068016,           0.0025265,           0.0025265,           0.0025265
                   7,            0.074093,           0.0023361,           0.0083194,             0.83089,             0.40861,             0.46625,             0.27714,            0.067123,            0.019613,           0.0066485,           0.0025158,           0.0025158,           0.0025158
                   8,            0.073446,           0.0023054,           0.0080474,             0.83687,             0.41288,             0.47587,             0.28276,            0.066897,            0.019523,           0.0065425,           0.0025051,           0.0025051,           0.0025051
                   9,            0.072865,           0.0022815,           0.0078209,             0.84404,             0.41615,             0.48313,             0.28739,            0.066713,            0.019451,           0.0064502,           0.0024943,           0.0024943,           0.0024943
                  10,              0.0724,           0.0022523,           0.0075531,             0.83983,             0.42083,             0.48841,             0.29065,             0.06654,            0.019384,           0.0063673,           0.0024836,           0.0024836,           0.0024836
                  11,            0.072329,           0.0022415,           0.0074525,             0.84382,             0.42459,             0.49285,               0.293,            0.066382,            0.019318,           0.0062865,           0.0024729,           0.0024729,           0.0024729
                  12,            0.071969,           0.0022142,           0.0072207,             0.84555,             0.42831,             0.49802,             0.29627,            0.066231,            0.019252,           0.0062066,           0.0024622,           0.0024622,           0.0024622
                  13,            0.071989,           0.0022293,           0.0071505,             0.85263,             0.43006,             0.50382,             0.30009,            0.066082,            0.019188,           0.0061267,           0.0024515,           0.0024515,           0.0024515
                  14,            0.071253,           0.0021918,           0.0069788,             0.84438,               0.437,             0.50835,             0.30377,            0.065942,            0.019121,           0.0060448,           0.0024408,           0.0024408,           0.0024408
