               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,            0.064471,           0.0015256,            0.010769,              0.6017,             0.10481,             0.10144,            0.039926,            0.013865,           0.0021605,           0.0023469,             0.13243,          0.00098688,          0.00098688
                   1,            0.057382,          0.00086362,           0.0095577,             0.72827,             0.15487,             0.16192,            0.064665,            0.013375,           0.0022762,           0.0020169,            0.078266,           0.0019657,           0.0019657
                   2,            0.056129,           0.0008105,           0.0078833,             0.55873,             0.16889,             0.17971,            0.074196,            0.013164,           0.0022766,           0.0018101,            0.024094,           0.0029361,           0.0029361
                   3,            0.055377,          0.00077916,           0.0072358,             0.76985,             0.17558,             0.18901,            0.079396,            0.013025,           0.0022283,           0.0017443,           0.0032975,           0.0032975,           0.0032975
                   4,            0.054631,          0.00074675,           0.0069019,             0.77694,             0.18317,             0.19822,             0.08394,            0.012911,           0.0021832,            0.001704,           0.0032975,           0.0032975,           0.0032975
                   5,            0.054178,          0.00073678,           0.0066138,             0.78296,             0.18623,             0.20337,            0.087077,             0.01286,           0.0021556,           0.0016956,           0.0032833,           0.0032833,           0.0032833
                   6,            0.054017,          0.00073277,           0.0064468,             0.78774,             0.19085,             0.20846,            0.090245,            0.012793,           0.0021384,           0.0016723,           0.0032691,           0.0032691,           0.0032691
                   7,              0.0535,          0.00072381,           0.0062438,             0.62823,             0.19349,             0.21225,            0.092251,            0.012753,           0.0021397,            0.001661,            0.003255,            0.003255,            0.003255
                   8,            0.053296,          0.00071679,           0.0061665,             0.59418,             0.19518,             0.21415,            0.093447,            0.012726,           0.0021411,           0.0016538,           0.0032408,           0.0032408,           0.0032408
                   9,             0.05301,          0.00072026,           0.0060633,             0.39955,             0.19644,             0.21648,            0.094604,            0.012702,           0.0021407,           0.0016482,           0.0032266,           0.0032266,           0.0032266
                  10,            0.052407,          0.00071918,           0.0059026,             0.40231,             0.19738,             0.21782,            0.095354,            0.012681,           0.0021416,           0.0016424,           0.0032124,           0.0032124,           0.0032124
                  11,            0.052429,          0.00071785,           0.0058708,             0.40194,             0.19898,             0.21926,            0.096367,            0.012663,           0.0021426,           0.0016377,           0.0031983,           0.0031983,           0.0031983
                  12,            0.052527,          0.00070945,           0.0058247,             0.40162,             0.19995,             0.22066,            0.097301,            0.012646,           0.0021425,           0.0016329,           0.0031841,           0.0031841,           0.0031841
                  13,            0.052478,          0.00071677,           0.0057912,             0.42369,             0.20114,             0.22173,            0.098205,            0.012629,           0.0021423,           0.0016274,           0.0031699,           0.0031699,           0.0031699
                  14,            0.052506,          0.00072375,           0.0057405,             0.41765,             0.20172,              0.2231,            0.099187,            0.012613,           0.0021409,           0.0016226,           0.0031558,           0.0031558,           0.0031558
                  15,              0.0523,          0.00071442,           0.0056994,             0.44366,             0.20273,             0.22444,            0.099946,            0.012598,           0.0021392,           0.0016175,           0.0031416,           0.0031416,           0.0031416
                  16,            0.052113,          0.00070767,           0.0056125,             0.46101,             0.20415,              0.2258,             0.10068,            0.012583,           0.0021375,           0.0016124,           0.0031274,           0.0031274,           0.0031274
                  17,            0.051821,          0.00069654,           0.0056066,             0.45461,             0.20426,             0.22671,             0.10127,            0.012571,           0.0021362,           0.0016088,           0.0031132,           0.0031132,           0.0031132
