               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,            0.030783,           0.0010695,           0.0035316,             0.67291,             0.40996,             0.45412,             0.30205,            0.011071,            0.001967,           0.0033502,             0.13243,          0.00098685,          0.00098685
                   1,            0.029119,          0.00086894,           0.0032916,             0.67774,             0.40852,             0.45372,             0.28986,            0.011604,            0.002019,           0.0032747,            0.078262,           0.0019572,           0.0019572
                   2,             0.02953,          0.00086046,           0.0034128,             0.67456,             0.41033,             0.45608,             0.28356,             0.01197,           0.0019804,           0.0030643,            0.024076,           0.0029108,           0.0029108
                   3,            0.029654,          0.00084792,           0.0035705,             0.67939,             0.41061,             0.45062,             0.27641,            0.011866,           0.0019566,           0.0030287,            0.003255,            0.003255,            0.003255
                   4,            0.029496,          0.00082685,           0.0035111,             0.69661,             0.41316,             0.45581,              0.2818,            0.011768,            0.001961,            0.002939,            0.003255,            0.003255,            0.003255
                   5,            0.029352,          0.00082175,           0.0034827,             0.68014,              0.4162,             0.45646,             0.28396,            0.011724,            0.001958,           0.0030081,           0.0032266,           0.0032266,           0.0032266
                   6,            0.029467,          0.00082415,           0.0034761,              0.6418,             0.41762,             0.45963,             0.28547,            0.011681,           0.0019421,            0.002951,           0.0031983,           0.0031983,           0.0031983
                   7,            0.029277,          0.00081327,           0.0034353,             0.64241,             0.41834,             0.46148,             0.28539,            0.011656,           0.0019426,           0.0029554,           0.0031699,           0.0031699,           0.0031699
                   8,            0.029299,          0.00081673,            0.003486,              0.6593,             0.41969,             0.46161,             0.28601,            0.011623,           0.0019408,           0.0029715,           0.0031416,           0.0031416,           0.0031416
                   9,               0.029,          0.00080787,           0.0034255,             0.67378,             0.42101,             0.46348,             0.28718,            0.011599,           0.0019415,           0.0029499,           0.0031132,           0.0031132,           0.0031132
                  10,            0.029014,          0.00080971,           0.0034734,             0.69883,             0.42352,             0.46499,             0.28771,            0.011581,           0.0019401,           0.0029278,           0.0030849,           0.0030849,           0.0030849
                  11,            0.028849,          0.00079818,           0.0034247,              0.7061,             0.42417,             0.46611,             0.28845,             0.01156,           0.0019381,           0.0029188,           0.0030566,           0.0030566,           0.0030566
                  12,            0.028969,          0.00079914,           0.0034479,             0.70772,             0.42428,             0.46691,             0.28937,            0.011559,           0.0019377,           0.0029118,           0.0030282,           0.0030282,           0.0030282
                  13,            0.028929,          0.00079626,           0.0033851,             0.71212,             0.42487,             0.46757,              0.2896,            0.011561,           0.0019396,           0.0029204,           0.0029999,           0.0029999,           0.0029999
                  14,            0.028773,          0.00079534,           0.0034309,              0.7261,             0.42297,             0.46714,             0.28918,            0.011563,           0.0019423,           0.0029346,           0.0029715,           0.0029715,           0.0029715
                  15,            0.028756,          0.00079741,           0.0033598,             0.72673,             0.42297,              0.4663,             0.28964,            0.011558,           0.0019426,            0.002944,           0.0029432,           0.0029432,           0.0029432
                  16,            0.028689,          0.00078533,           0.0033831,             0.72615,             0.42158,              0.4659,             0.29014,            0.011545,            0.001943,           0.0029611,           0.0029148,           0.0029148,           0.0029148
                  17,            0.028559,          0.00078784,           0.0033427,             0.72973,             0.42098,             0.46548,             0.29115,            0.011532,           0.0019434,           0.0029879,           0.0028865,           0.0028865,           0.0028865
                  18,            0.028519,          0.00078861,           0.0033516,             0.72321,             0.42169,             0.46509,             0.29322,            0.011516,           0.0019425,           0.0030024,           0.0028581,           0.0028581,           0.0028581
                  19,            0.028707,           0.0007911,           0.0033764,             0.72462,             0.42082,             0.46462,             0.29517,            0.011503,           0.0019407,            0.003013,           0.0028298,           0.0028298,           0.0028298
                  20,            0.028513,          0.00077795,           0.0033476,             0.72452,              0.4205,             0.46462,             0.29617,              0.0115,           0.0019376,           0.0030193,           0.0028014,           0.0028014,           0.0028014
                  21,            0.028411,          0.00078205,           0.0033447,             0.72144,             0.42206,             0.46485,             0.29702,            0.011494,           0.0019372,           0.0030121,           0.0027731,           0.0027731,           0.0027731
                  22,            0.028592,          0.00078669,           0.0033444,             0.72253,             0.42273,             0.46598,             0.29881,            0.011484,           0.0019325,           0.0029836,           0.0027448,           0.0027448,           0.0027448
                  23,            0.028461,          0.00077646,           0.0032562,             0.71547,             0.42367,             0.46622,             0.29841,            0.011485,           0.0019322,           0.0029758,           0.0027164,           0.0027164,           0.0027164
                  24,            0.028353,          0.00077689,           0.0033205,             0.71429,             0.42177,             0.46542,              0.2992,            0.011473,           0.0019319,           0.0029858,           0.0026881,           0.0026881,           0.0026881
                  25,            0.028255,          0.00077364,           0.0032962,              0.7154,              0.4222,              0.4652,             0.30065,            0.011464,           0.0019305,           0.0029966,           0.0026597,           0.0026597,           0.0026597
                  26,            0.028323,          0.00077063,           0.0033097,             0.72198,             0.42292,             0.46585,              0.3039,            0.011447,           0.0019305,           0.0029818,           0.0026314,           0.0026314,           0.0026314
                  27,            0.028204,          0.00077874,           0.0032862,              0.7194,             0.42262,             0.46628,             0.30506,            0.011438,           0.0019359,           0.0029862,            0.002603,            0.002603,            0.002603
