               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,              0.0371,           0.0018497,           0.0061102,             0.52364,             0.46285,             0.46605,             0.27216,            0.010832,           0.0058418,           0.0034639,             0.13242,            0.000987,            0.000987
                   1,             0.02487,           0.0023672,           0.0038729,             0.61221,             0.48135,             0.52329,             0.32577,           0.0082239,           0.0048401,            0.002681,            0.078254,           0.0019574,           0.0019574
                   2,            0.023264,           0.0016283,           0.0031153,             0.63379,             0.48589,             0.53519,             0.34873,           0.0079033,           0.0039023,           0.0024977,            0.024067,            0.002911,            0.002911
                   3,            0.022791,            0.001482,            0.002871,             0.64301,             0.50023,             0.54459,             0.36068,           0.0078567,            0.003797,           0.0024095,            0.003255,            0.003255,            0.003255
                   4,            0.022176,           0.0013928,           0.0027153,             0.64173,              0.4994,             0.54797,             0.36699,             0.00784,           0.0037851,           0.0023779,            0.003255,            0.003255,            0.003255
                   5,            0.021626,           0.0013302,           0.0025538,             0.64071,             0.50305,             0.55067,             0.37059,           0.0078136,           0.0037583,           0.0023742,           0.0032266,           0.0032266,           0.0032266
                   6,            0.021568,           0.0013104,           0.0024992,             0.64507,             0.50364,             0.55268,             0.37371,           0.0077622,           0.0037462,           0.0023682,           0.0031983,           0.0031983,           0.0031983
                   7,            0.021392,           0.0012899,           0.0024476,              0.6559,             0.50296,             0.55488,             0.37701,           0.0077077,           0.0037347,           0.0023534,           0.0031699,           0.0031699,           0.0031699
                   8,            0.021169,           0.0012738,           0.0023997,             0.65769,             0.50626,             0.55711,             0.37903,           0.0076726,           0.0037281,           0.0023398,           0.0031416,           0.0031416,           0.0031416
                   9,            0.020955,           0.0012463,           0.0023827,             0.66287,             0.50653,             0.55863,             0.38099,           0.0076249,           0.0037174,           0.0023267,           0.0031132,           0.0031132,           0.0031132
                  10,            0.021024,           0.0012468,           0.0023627,             0.66108,             0.50908,              0.5603,             0.38301,            0.007569,           0.0037117,           0.0023147,           0.0030849,           0.0030849,           0.0030849
                  11,            0.020735,           0.0012319,           0.0023176,             0.66213,             0.51194,             0.56279,             0.38491,            0.007516,           0.0037069,           0.0023036,           0.0030566,           0.0030566,           0.0030566
                  12,            0.020606,           0.0012156,           0.0022915,             0.65981,             0.51206,             0.56477,             0.38677,           0.0074574,           0.0037015,            0.002297,           0.0030282,           0.0030282,           0.0030282
                  13,              0.0207,           0.0012147,           0.0022813,             0.65926,             0.51486,             0.56691,              0.3885,           0.0074114,           0.0036958,           0.0022987,           0.0029999,           0.0029999,           0.0029999
                  14,            0.020576,            0.001201,           0.0022478,             0.65724,              0.5174,              0.5699,             0.39108,           0.0073866,           0.0036889,           0.0022881,           0.0029715,           0.0029715,           0.0029715
                  15,            0.020412,           0.0012019,           0.0022415,             0.65763,             0.51902,             0.57196,             0.39317,            0.007378,           0.0036852,           0.0022857,           0.0029432,           0.0029432,           0.0029432
